shipment_id,submission_timestamp,hs_code,shc_code,origin_country,port_of_loading,importer_cr_id,is_aeo_certified,historical_avg_clearance_hours,fatoorah_validation_passed,weight_value_discrepancy,pre_arrival_filing_hours,ambient_temperature_celsius,visibility_meters,clearance_duration_hours,inspection_track
176-56234830,2025-05-12T05:00:00+03:00,300487364953,CRT,IND,BOM,4939984282,1,86.78,0,0.0435,38.89,32.1,7505.0,34.94,YELLOW
160-45260075,2025-10-23T14:00:00+03:00,851712393947,GEN,CHN,PVG,2868511228,1,37.74,1,0.0346,3.15,31.5,5655.0,1.44,GREEN
160-87275437,2025-05-28T13:00:00+03:00,060227590313,COL,FRA,CDG,4050880075,0,78.0,1,0.0949,30.98,17.9,2038.0,80.53,RED
176-24076300,2025-05-30T11:00:00+03:00,851781600729,GEN,TWN,TPE,2045191081,1,105.26,1,0.0978,-38.76,32.2,2500.0,96.65,RED
160-69528978,2025-03-04T02:00:00+03:00,300496540325,CRT,DEU,FRA,1042964619,0,64.55,1,0.0345,-18.34,17.2,6263.0,29.58,RED
160-65921547,2025-11-17T16:00:00+03:00,851773068018,GEN,TWN,TPE,1389783964,0,149.5,1,0.0972,-33.63,21.9,6359.0,86.71,RED
160-16835055,2025-09-12T17:00:00+03:00,851750399304,VAL,CHN,PVG,4935549416,0,147.64,1,0.0573,42.94,16.0,2983.0,95.54,RED
020-97737177,2025-07-23T15:00:00+03:00,060263733308,PER,FRA,CDG,4177994701,1,155.5,1,0.0371,22.51,49.9,3663.0,4.08,GREEN
176-36786863,2025-04-04T20:00:00+03:00,851776279210,GEN,CHN,PVG,2747591922,0,5.9,0,0.0982,-34.55,19.3,2792.0,100.25,RED
065-14983456,2025-10-21T08:00:00+03:00,060271012928,COL,FRA,CDG,4266460266,0,18.06,1,0.0988,59.34,24.6,4126.0,89.78,RED
065-66396750,2025-03-21T19:00:00+03:00,060292943469,PER,NLD,AMS,1702254320,0,19.81,1,0.0934,5.42,44.1,2781.0,145.85,RED
176-78625060,2025-10-24T04:00:00+03:00,300440066698,CRT,IND,BOM,2407795537,1,99.6,0,0.042,17.41,27.0,642.0,63.09,RED
020-10901498,2025-03-06T17:00:00+03:00,040624111073,COL,NLD,AMS,4713420694,0,28.43,1,0.0791,7.47,13.3,6466.0,78.0,RED
160-14022488,2025-05-27T09:00:00+03:00,851740379009,GEN,CHN,PVG,4952355861,0,85.41,1,0.0986,-47.68,35.2,2102.0,101.02,RED
160-22004980,2025-11-01T10:00:00+03:00,300435657019,COL,IND,BOM,4811882741,1,137.31,1,0.0101,71.32,12.1,349.0,12.74,GREEN
020-95743530,2025-09-28T04:00:00+03:00,040644854691,PER,NLD,AMS,2146981369,0,117.25,1,0.0165,8.45,39.2,5822.0,1.28,GREEN
065-10023802,2025-10-26T02:00:00+03:00,300416442905,COL,IND,BOM,2502233589,1,45.6,1,0.0136,41.79,24.8,3105.0,1.64,GREEN
176-65587249,2025-08-02T00:00:00+03:00,300445396856,COL,IND,BOM,4662918639,1,93.72,1,0.0336,60.02,23.2,8341.0,0.77,GREEN
176-38775155,2025-05-18T13:00:00+03:00,060232862463,PER,FRA,CDG,1865376496,0,104.51,1,0.0138,69.11,24.3,4265.0,0.5,GREEN
020-69665992,2025-11-22T13:00:00+03:00,300426092896,CRT,DEU,FRA,1742046921,0,70.74,0,0.0928,46.56,46.5,5416.0,100.74,RED
160-99548258,2025-11-11T04:00:00+03:00,040688400641,COL,FRA,CDG,2272230563,0,25.85,1,0.0494,10.08,20.3,5923.0,3.46,GREEN
160-18886978,2025-06-23T21:00:00+03:00,851799689017,GEN,CHN,PVG,2893496785,0,146.47,1,0.0501,51.96,50.0,4495.0,97.17,RED
160-70908810,2025-08-11T08:00:00+03:00,851787562374,VAL,TWN,TPE,2098445740,1,149.12,1,0.0717,11.3,40.8,3589.0,93.5,RED
176-24157715,2025-05-19T04:00:00+03:00,300447653656,COL,DEU,FRA,1520549069,1,137.35,1,0.0224,13.94,17.9,4679.0,1.65,GREEN
065-91646166,2025-06-17T18:00:00+03:00,851740310459,GEN,CHN,PVG,4163248698,1,145.32,1,0.0926,11.5,37.6,5416.0,108.2,RED
176-86840181,2025-08-14T02:00:00+03:00,851749759879,GEN,CHN,PVG,4145697238,0,113.42,1,0.0312,48.04,37.0,5621.0,0.5,GREEN
020-99873565,2025-04-30T09:00:00+03:00,040698514011,PER,FRA,CDG,2133236777,0,69.97,1,0.0455,42.18,25.5,6360.0,2.61,GREEN
176-45332331,2025-03-23T18:00:00+03:00,851720085710,VAL,TWN,TPE,4555234996,0,20.71,1,0.0616,-21.73,24.8,5885.0,105.42,RED
020-52182391,2025-09-26T01:00:00+03:00,851738517975,GEN,TWN,TPE,2943531148,0,136.56,1,0.0873,-36.11,21.3,2094.0,93.19,RED
176-19670755,2025-09-11T20:00:00+03:00,851772834081,VAL,TWN,TPE,1905321463,0,46.29,1,0.0785,-8.31,44.4,374.0,109.79,RED
065-50307426,2025-10-14T20:00:00+03:00,851775450681,GEN,TWN,TPE,4924423354,0,30.12,1,0.0563,-15.91,24.3,5446.0,93.4,RED
020-90492662,2025-11-08T04:00:00+03:00,851738006066,VAL,CHN,PVG,1276744331,1,67.33,1,0.0772,-29.06,42.4,3526.0,108.46,RED
160-79076321,2025-05-23T11:00:00+03:00,851770937796,GEN,CHN,PVG,4733706657,0,111.69,1,0.0364,-44.77,28.3,3769.0,25.31,YELLOW
160-67165859,2025-05-27T08:00:00+03:00,300427456426,CRT,IND,BOM,2752594501,0,95.93,1,0.0431,-2.29,30.0,9116.0,30.2,RED
176-47892095,2025-03-30T07:00:00+03:00,060270724380,PER,FRA,CDG,4992647344,0,91.47,1,0.0495,-44.9,44.6,9780.0,33.03,RED
176-45101098,2025-11-22T20:00:00+03:00,300435226688,CRT,DEU,FRA,2574370502,0,21.93,1,0.0913,-23.64,47.7,379.0,101.18,RED
065-31991940,2025-06-09T03:00:00+03:00,300466786713,CRT,DEU,FRA,1344563739,0,26.93,1,0.0227,-40.42,27.8,7212.0,26.55,YELLOW
065-88960603,2025-05-07T17:00:00+03:00,300487476147,CRT,DEU,FRA,1761212602,0,4.68,1,0.0658,45.06,40.8,3817.0,92.88,RED
160-82837772,2025-07-17T19:00:00+03:00,060224384568,PER,NLD,AMS,4281666246,1,42.89,1,0.052,24.84,14.5,6917.0,101.65,RED
176-59200867,2025-09-14T05:00:00+03:00,040671853813,PER,NLD,AMS,2782685720,0,92.88,1,0.0757,12.84,23.3,5763.0,98.12,RED
020-60630664,2025-09-29T17:00:00+03:00,040673919907,COL,FRA,CDG,2839239291,1,22.1,0,0.087,59.81,40.3,257.0,96.4,RED
065-89625574,2025-07-03T02:00:00+03:00,851745645373,GEN,CHN,PVG,2991816282,1,27.72,1,0.0016,-19.48,15.7,9748.0,27.09,RED
020-32007261,2025-09-14T08:00:00+03:00,851757570364,VAL,TWN,TPE,2806832181,0,127.02,1,0.036,50.42,24.4,5972.0,1.26,GREEN
020-77358776,2025-06-27T07:00:00+03:00,040663274774,COL,NLD,AMS,4985730129,0,48.63,1,0.0758,3.09,24.3,5502.0,94.32,RED
065-40522812,2025-07-20T00:00:00+03:00,300417134621,COL,DEU,FRA,2999485975,0,108.36,0,0.0881,58.97,21.4,392.0,124.82,RED
176-32704588,2025-06-19T19:00:00+03:00,300459631122,CRT,DEU,FRA,4431168105,1,161.38,1,0.0457,63.57,43.4,3682.0,1.32,GREEN
020-71435569,2025-05-17T13:00:00+03:00,300497056537,COL,IND,BOM,1719825710,0,140.38,1,0.0356,-24.13,38.3,7970.0,26.36,YELLOW
176-46227665,2025-06-28T00:00:00+03:00,300436029062,COL,DEU,FRA,4461983281,0,154.63,1,0.0298,17.96,47.2,5159.0,0.52,GREEN
020-46967329,2025-10-07T21:00:00+03:00,851764048419,GEN,TWN,TPE,1320881296,1,149.65,1,0.088,-39.37,35.7,8759.0,96.91,RED
176-41727188,2025-03-29T13:00:00+03:00,851781076709,VAL,CHN,PVG,1985860368,0,15.12,1,0.064,-32.53,20.6,3511.0,102.67,RED
176-92511936,2025-11-03T19:00:00+03:00,040616693632,PER,FRA,CDG,1696590726,1,109.44,0,0.0369,58.43,42.1,5575.0,29.14,RED
176-18195500,2025-08-26T11:00:00+03:00,040625460259,PER,NLD,AMS,2100281972,0,135.4,1,0.0482,65.72,19.5,5818.0,3.03,GREEN
176-47057366,2025-05-07T11:00:00+03:00,851787206131,VAL,TWN,TPE,1652327103,0,62.72,1,0.0116,30.87,29.7,882.0,13.53,GREEN
065-68693475,2025-10-27T23:00:00+03:00,300418837886,CRT,IND,BOM,4172013908,0,15.51,1,0.0897,71.66,40.1,4680.0,93.45,RED
020-73610312,2025-09-28T16:00:00+03:00,300440395619,COL,DEU,FRA,1268810161,0,9.9,1,0.0565,20.97,19.3,2280.0,102.1,RED
176-80972153,2025-09-10T11:00:00+03:00,060223596829,PER,FRA,CDG,2049959797,0,57.66,1,0.0597,45.47,27.6,8584.0,88.69,RED
160-25672305,2025-04-29T15:00:00+03:00,851776460815,GEN,CHN,PVG,1273165109,1,134.62,1,0.0814,59.03,33.8,8812.0,1.15,GREEN
020-59556527,2025-04-06T11:00:00+03:00,040656658526,COL,NLD,AMS,2662415202,0,118.94,1,0.0413,69.35,25.9,8778.0,1.63,GREEN
020-69432129,2025-09-13T09:00:00+03:00,040622649023,PER,FRA,CDG,2302669123,1,125.66,1,0.0298,37.32,32.4,5037.0,2.13,GREEN
176-75345652,2025-06-11T13:00:00+03:00,300450979918,CRT,DEU,FRA,4549665216,0,16.53,1,0.0685,-17.01,29.0,3465.0,100.47,RED
020-48099966,2025-04-26T21:00:00+03:00,851752293683,GEN,TWN,TPE,2340842423,0,32.01,1,0.0288,-29.32,32.4,1181.0,34.88,RED
160-74579575,2025-04-21T19:00:00+03:00,040654581131,COL,NLD,AMS,2670627252,0,119.36,1,0.0382,-26.47,13.5,9541.0,23.48,RED
160-64144163,2025-09-25T06:00:00+03:00,851711709239,VAL,TWN,TPE,4191603187,0,164.65,1,0.0545,61.38,33.9,1383.0,100.63,RED
160-82843742,2025-03-07T18:00:00+03:00,060212795332,PER,FRA,CDG,1237290729,0,29.83,1,0.0414,55.6,43.0,2972.0,1.52,GREEN
020-51583902,2025-05-22T06:00:00+03:00,040632914336,PER,FRA,CDG,1820611121,1,66.24,1,0.0991,-37.23,30.4,1142.0,114.02,RED
020-66439319,2025-07-16T03:00:00+03:00,060288270257,PER,FRA,CDG,1785936674,1,71.97,1,0.0945,2.31,13.8,5431.0,95.49,RED
176-61509652,2025-03-12T05:00:00+03:00,851743220287,VAL,CHN,PVG,2865904285,0,147.0,1,0.0561,-46.01,32.3,9190.0,96.96,RED
020-18865887,2025-03-27T07:00:00+03:00,851716063489,GEN,TWN,TPE,4443361599,0,26.11,1,0.0325,67.52,24.8,5581.0,3.03,GREEN
020-57511805,2025-04-07T17:00:00+03:00,851740640252,GEN,CHN,PVG,1968365359,0,62.31,0,0.0356,-34.01,20.4,5518.0,90.5,RED
176-20715549,2025-07-23T15:00:00+03:00,040623420761,COL,NLD,AMS,2866266953,1,72.18,1,0.0318,63.36,21.5,185.0,12.56,GREEN
160-45448440,2025-07-14T13:00:00+03:00,851770749138,VAL,CHN,PVG,1218220783,1,13.39,1,0.0787,13.85,41.6,7308.0,96.8,RED
176-47538367,2025-05-23T22:00:00+03:00,300483244637,COL,DEU,FRA,4225755836,0,118.06,1,0.0192,47.09,26.7,9222.0,1.53,GREEN
065-82632562,2025-05-08T09:00:00+03:00,060258894086,COL,FRA,CDG,4983626161,1,155.28,1,0.0161,66.58,17.2,7665.0,1.86,GREEN
020-65755390,2025-03-09T12:00:00+03:00,300457328711,COL,IND,BOM,2268553706,0,133.43,1,0.0456,27.59,28.2,1563.0,2.53,GREEN
020-62407668,2025-03-25T05:00:00+03:00,060225134534,COL,FRA,CDG,2728763288,0,25.36,1,0.0664,-12.86,31.9,8953.0,107.93,RED
065-28626598,2025-10-23T11:00:00+03:00,040665072076,PER,NLD,AMS,2239674667,1,44.44,1,0.0616,40.97,41.1,7936.0,103.05,RED
065-38931968,2025-04-05T00:00:00+03:00,851757941821,VAL,TWN,TPE,2221416607,0,85.27,1,0.0261,-39.15,47.9,9313.0,31.42,RED
065-39487529,2025-11-03T04:00:00+03:00,040687522039,COL,NLD,AMS,1406839418,1,20.75,1,0.0439,-45.48,43.6,3340.0,41.67,YELLOW
176-81150668,2025-10-09T19:00:00+03:00,040621982151,PER,FRA,CDG,4364886743,0,95.21,1,0.0329,-25.35,32.0,8517.0,26.86,YELLOW
160-39506517,2025-05-11T15:00:00+03:00,851795729393,GEN,CHN,PVG,2149550228,0,31.25,1,0.0691,41.05,45.4,4642.0,88.16,RED
176-71633021,2025-10-26T02:00:00+03:00,300494139980,COL,DEU,FRA,2925625319,0,150.7,1,0.0044,23.86,33.4,611.0,13.26,GREEN
065-96912516,2025-06-19T03:00:00+03:00,300445609215,COL,IND,BOM,4961769422,0,73.5,1,0.0828,55.99,32.5,2491.0,88.31,RED
176-22898050,2025-06-04T17:00:00+03:00,060289074084,COL,FRA,CDG,2788504473,0,27.43,1,0.0866,53.66,45.4,6323.0,133.3,RED
020-81033148,2025-04-06T10:00:00+03:00,060235578230,PER,FRA,CDG,4417960860,0,45.79,1,0.0486,-2.84,21.4,8661.0,24.05,RED
176-74507826,2025-10-18T16:00:00+03:00,851792190565,GEN,CHN,PVG,4831913671,0,5.97,1,0.054,-25.85,23.8,4311.0,88.66,RED
065-51875875,2025-11-20T03:00:00+03:00,300471072780,COL,DEU,FRA,1778984319,0,64.25,1,0.0111,-37.35,44.5,1512.0,34.18,YELLOW
020-68268746,2025-03-29T17:00:00+03:00,040611118688,COL,FRA,CDG,4739731768,0,68.33,1,0.0618,1.0,45.6,1109.0,160.75,RED
160-67272281,2025-08-14T16:00:00+03:00,060230163227,COL,NLD,AMS,4328229483,0,103.34,1,0.0767,60.24,33.1,1249.0,107.93,RED
176-70124033,2025-11-10T10:00:00+03:00,060275340518,COL,NLD,AMS,2218808848,0,45.35,1,0.0608,11.98,20.8,7088.0,89.47,RED
176-61119132,2025-07-09T21:00:00+03:00,300449557552,CRT,IND,BOM,4868976903,1,149.06,1,0.0736,13.51,42.7,4227.0,97.78,RED
065-78697128,2025-04-29T06:00:00+03:00,851715496631,GEN,CHN,PVG,1345889746,1,17.05,1,0.0726,-12.25,12.6,6988.0,100.4,RED
160-49407083,2025-11-10T01:00:00+03:00,300489600725,CRT,DEU,FRA,2770159684,1,136.8,1,0.0033,68.84,13.6,3283.0,0.53,GREEN
020-71367395,2025-03-28T23:00:00+03:00,851775547434,VAL,TWN,TPE,2202593225,0,61.28,1,0.0433,-30.17,25.6,7663.0,29.31,YELLOW
065-52763583,2025-04-18T19:00:00+03:00,851767756952,VAL,TWN,TPE,1518298374,0,24.74,1,0.0514,39.46,16.7,5048.0,97.6,RED
065-73390265,2025-10-19T23:00:00+03:00,851716697739,VAL,TWN,TPE,1092826974,1,67.96,1,0.0284,2.22,43.3,5742.0,0.85,GREEN
176-18510986,2025-08-03T06:00:00+03:00,851757005495,VAL,TWN,TPE,2035367377,1,123.43,1,0.0564,33.58,35.2,5816.0,94.88,RED
160-56219142,2025-04-09T07:00:00+03:00,851721543189,VAL,TWN,TPE,2579623791,0,27.71,1,0.0894,-8.19,36.2,3127.0,99.39,RED
065-60794316,2025-11-20T06:00:00+03:00,300436404306,COL,IND,BOM,2111703297,0,7.26,1,0.0967,-9.52,33.0,9965.0,99.38,RED
176-51789628,2025-04-30T09:00:00+03:00,300449030787,CRT,IND,BOM,4667253410,0,33.41,1,0.0875,54.7,35.6,6954.0,88.76,RED
020-25382621,2025-08-03T17:00:00+03:00,300473508844,COL,IND,BOM,1363152583,0,117.84,1,0.0261,3.74,39.8,9880.0,2.87,GREEN
065-83633621,2025-06-14T19:00:00+03:00,300495502685,COL,IND,BOM,1782298405,1,54.19,0,0.0924,-29.17,15.4,8766.0,107.93,RED
020-92103476,2025-08-12T23:00:00+03:00,300463568120,CRT,DEU,FRA,4863161736,0,163.13,1,0.0822,-16.1,41.3,2682.0,102.22,RED
020-47285184,2025-09-24T23:00:00+03:00,300450536794,COL,DEU,FRA,1610089278,0,11.24,1,0.0143,-46.23,42.5,654.0,42.09,RED
176-24441862,2025-11-17T21:00:00+03:00,300485686398,COL,IND,BOM,1389674996,1,140.89,1,0.09,-16.1,18.6,4630.0,100.08,RED
160-48735168,2025-10-13T08:00:00+03:00,300487600317,CRT,DEU,FRA,1901463501,1,157.62,1,0.0666,-41.94,25.7,874.0,100.72,RED
020-41083065,2025-08-25T12:00:00+03:00,851743557176,GEN,TWN,TPE,4871896138,1,48.03,1,0.0834,-24.85,25.2,520.0,106.92,RED
065-46722479,2025-06-07T09:00:00+03:00,040650407893,COL,FRA,CDG,4565568451,0,75.0,1,0.0514,65.56,29.6,6507.0,95.25,RED
160-93136771,2025-11-12T20:00:00+03:00,851749907513,VAL,TWN,TPE,2596719467,0,94.22,1,0.0969,-10.68,44.6,4133.0,92.3,RED
160-68116061,2025-10-03T17:00:00+03:00,851760461294,VAL,TWN,TPE,1164229857,1,68.27,1,0.0759,43.73,33.3,4849.0,97.99,RED
176-52354567,2025-07-31T04:00:00+03:00,300428603902,COL,IND,BOM,1899223780,1,39.38,1,0.0233,9.82,33.7,2298.0,0.5,GREEN
065-73859184,2025-07-31T22:00:00+03:00,060272864748,COL,FRA,CDG,2374827808,1,61.54,1,0.0944,59.68,44.6,7393.0,1.79,GREEN
065-92547924,2025-05-13T01:00:00+03:00,060266439314,COL,FRA,CDG,2031491778,0,115.34,1,0.0619,21.02,44.4,498.0,168.49,RED
176-10022642,2025-06-07T00:00:00+03:00,851713714198,GEN,CHN,PVG,4127255853,1,65.0,1,0.046,-5.05,16.8,5374.0,27.68,YELLOW
176-84347195,2025-05-20T18:00:00+03:00,851721868737,GEN,CHN,PVG,2480813538,0,59.79,1,0.0527,-3.16,37.6,1005.0,108.5,RED
160-47329667,2025-03-16T10:00:00+03:00,300442567348,COL,DEU,FRA,1902507108,0,45.1,0,0.0133,52.27,17.0,2585.0,53.41,RED
020-60417287,2025-11-05T00:00:00+03:00,060217185483,COL,NLD,AMS,4441251253,0,164.22,1,0.0869,50.98,36.4,3188.0,81.39,RED
020-85218409,2025-09-23T04:00:00+03:00,851764081976,GEN,TWN,TPE,4821314242,0,155.67,1,0.0224,52.1,30.4,5240.0,2.78,GREEN
020-62112985,2025-09-03T15:00:00+03:00,300479525894,COL,DEU,FRA,4649360877,1,131.18,0,0.0764,6.98,15.1,7067.0,121.56,RED
020-62766223,2025-05-20T11:00:00+03:00,851721362751,GEN,TWN,TPE,1753556772,0,155.81,1,0.0758,-8.43,33.7,4242.0,97.32,RED
065-81468690,2025-11-30T12:00:00+03:00,300497225409,CRT,DEU,FRA,2564387838,0,79.85,1,0.09,11.18,45.5,498.0,106.12,RED
065-90953728,2025-03-18T16:00:00+03:00,851789770922,GEN,CHN,PVG,2442715857,0,58.04,1,0.0777,17.75,17.8,6659.0,90.83,RED
176-59500772,2025-11-18T16:00:00+03:00,300485892528,COL,DEU,FRA,4604471682,0,126.22,1,0.0457,66.96,43.6,6506.0,3.9,GREEN
176-28986401,2025-09-13T20:00:00+03:00,040626299760,PER,FRA,CDG,2810334526,0,113.87,1,0.0869,17.43,16.6,4326.0,88.02,RED
020-61849434,2025-04-07T06:00:00+03:00,040685436973,COL,NLD,AMS,2514952206,0,153.12,1,0.0733,-32.83,24.4,5129.0,99.98,RED
176-13144766,2025-11-25T14:00:00+03:00,851740003511,GEN,TWN,TPE,1683291859,0,21.36,0,0.0458,19.05,14.1,7239.0,21.93,RED
065-83142621,2025-03-25T21:00:00+03:00,300494320873,COL,DEU,FRA,4829369815,1,129.31,1,0.0526,45.22,46.9,566.0,164.97,RED
020-49534981,2025-07-06T14:00:00+03:00,060293706754,PER,NLD,AMS,2172307808,1,73.59,1,0.013,-18.44,35.5,988.0,40.54,YELLOW
020-80892323,2025-06-06T08:00:00+03:00,851719011655,GEN,TWN,TPE,2241220950,1,131.67,0,0.0935,-7.35,49.9,8998.0,99.54,RED
065-83824632,2025-09-12T08:00:00+03:00,851791039410,GEN,TWN,TPE,1137757737,1,80.72,1,0.0757,65.04,14.2,6128.0,0.86,GREEN
160-81944257,2025-05-10T07:00:00+03:00,300443179439,CRT,IND,BOM,2461571918,1,111.89,1,0.0613,64.24,46.0,7558.0,1.83,GREEN
020-50682217,2025-03-24T20:00:00+03:00,851773584629,GEN,TWN,TPE,4053104828,0,115.48,1,0.0004,-37.3,28.5,7316.0,24.77,YELLOW
176-48098951,2025-11-13T03:00:00+03:00,060217469640,PER,FRA,CDG,2747038678,0,120.7,1,0.006,67.69,25.2,5845.0,2.2,GREEN
160-56593762,2025-05-27T02:00:00+03:00,851764298766,VAL,CHN,PVG,4651743504,0,78.9,1,0.0114,36.23,36.6,1890.0,2.44,GREEN
065-54625946,2025-10-28T16:00:00+03:00,040683379415,COL,NLD,AMS,2348765803,0,103.24,1,0.0379,61.64,13.0,1910.0,0.86,GREEN
160-50325409,2025-11-29T14:00:00+03:00,300498336648,CRT,DEU,FRA,4893205113,1,133.09,1,0.005,8.79,43.8,5351.0,0.79,GREEN
160-60466843,2025-07-31T21:00:00+03:00,300429628855,CRT,DEU,FRA,1601003231,1,78.51,1,0.0173,21.59,25.6,9047.0,3.01,GREEN
020-18850590,2025-08-26T00:00:00+03:00,851729016797,GEN,TWN,TPE,4590200092,0,16.93,1,0.0398,-25.24,48.6,1757.0,24.68,YELLOW
160-52183824,2025-09-09T16:00:00+03:00,040673908898,COL,NLD,AMS,2455633097,0,63.07,1,0.0449,-18.9,27.9,8692.0,22.65,YELLOW
176-80273490,2025-05-08T01:00:00+03:00,300448849191,CRT,DEU,FRA,2696602080,1,64.47,1,0.0326,-31.27,27.3,5088.0,25.52,YELLOW
020-24534377,2025-09-27T21:00:00+03:00,851759303460,VAL,CHN,PVG,1796376126,0,163.36,1,0.063,-16.99,40.2,3377.0,91.08,RED
065-12531435,2025-05-03T05:00:00+03:00,851761783989,GEN,CHN,PVG,4239468929,1,109.53,1,0.0686,-43.06,19.3,4267.0,97.79,RED
176-93145594,2025-08-26T21:00:00+03:00,300465954896,COL,DEU,FRA,4917799343,1,102.03,1,0.0041,68.17,42.6,5389.0,0.64,GREEN
020-35545142,2025-06-19T17:00:00+03:00,040648040286,COL,NLD,AMS,4436283223,0,76.36,1,0.0487,32.6,27.8,8625.0,0.5,GREEN
160-25016712,2025-07-31T00:00:00+03:00,060211479031,COL,NLD,AMS,4877581553,0,10.8,1,0.0813,-41.32,35.1,5406.0,97.13,RED
176-57117277,2025-09-23T04:00:00+03:00,851796585062,VAL,TWN,TPE,1159419722,1,144.89,1,0.0869,-6.38,40.7,6285.0,106.37,RED
020-59422136,2025-07-28T12:00:00+03:00,851757610634,GEN,TWN,TPE,1985529746,0,131.85,1,0.0033,26.8,21.4,1084.0,14.43,GREEN
020-48066053,2025-05-04T01:00:00+03:00,060247165431,PER,FRA,CDG,1045912202,1,12.25,0,0.0722,9.44,26.7,7456.0,103.12,RED
065-75546125,2025-11-12T21:00:00+03:00,851758016078,GEN,TWN,TPE,2885015058,0,68.04,1,0.0508,-43.47,19.6,2325.0,100.63,RED
020-21084213,2025-10-02T16:00:00+03:00,300480471776,COL,DEU,FRA,4267747882,1,146.68,1,0.0542,48.16,49.8,8500.0,3.99,GREEN
065-95206026,2025-07-09T17:00:00+03:00,851733420574,GEN,TWN,TPE,2163482454,0,71.92,0,0.039,32.09,44.2,7954.0,34.58,RED
160-34527684,2025-03-05T01:00:00+03:00,060271670595,PER,FRA,CDG,1847832063,0,50.23,1,0.0977,15.33,18.9,8955.0,93.84,RED
020-84191454,2025-07-12T23:00:00+03:00,300498374850,COL,DEU,FRA,2897860697,0,40.03,1,0.0798,-41.28,16.5,7185.0,94.39,RED
020-76706917,2025-11-05T23:00:00+03:00,851719155005,VAL,CHN,PVG,4276495327,1,41.19,1,0.0312,69.56,36.6,3134.0,1.12,GREEN
160-68382445,2025-09-05T18:00:00+03:00,851773317523,GEN,CHN,PVG,4631223130,0,39.53,1,0.0453,-22.6,21.5,9290.0,30.16,RED
020-28091811,2025-09-14T04:00:00+03:00,851727370722,VAL,CHN,PVG,4267901561,0,21.09,1,0.0888,28.54,18.9,8812.0,101.01,RED
020-84359426,2025-08-04T06:00:00+03:00,060219069088,PER,FRA,CDG,2530095735,0,53.84,1,0.0737,1.17,32.9,712.0,108.16,RED
176-33798462,2025-07-10T13:00:00+03:00,851731364734,GEN,TWN,TPE,1307580826,0,135.97,1,0.0783,-10.84,38.7,877.0,105.36,RED
065-49780138,2025-09-12T03:00:00+03:00,851799289816,GEN,TWN,TPE,4259178172,1,144.39,1,0.0772,48.03,47.3,8844.0,2.1,GREEN
020-18256604,2025-03-15T07:00:00+03:00,851773943071,VAL,CHN,PVG,1982319924,1,10.54,1,0.0693,13.47,26.2,9714.0,89.59,RED
020-65197389,2025-10-12T13:00:00+03:00,851741758221,GEN,TWN,TPE,4783370590,0,93.0,1,0.0664,45.32,31.3,3135.0,85.5,RED
065-48660965,2025-11-09T03:00:00+03:00,300461550809,COL,IND,BOM,1662699150,0,139.69,1,0.0329,-28.51,16.3,1263.0,44.61,RED
176-48345622,2025-09-11T10:00:00+03:00,300418311653,COL,IND,BOM,1305935153,1,47.6,0,0.0212,30.64,43.6,909.0,57.83,RED
065-27278650,2025-03-26T10:00:00+03:00,851715022195,GEN,TWN,TPE,1253524164,0,49.84,0,0.0458,28.69,18.9,4653.0,60.65,RED
020-72841680,2025-05-11T23:00:00+03:00,060291407521,PER,FRA,CDG,1810735511,1,104.3,1,0.0929,-28.37,20.1,1117.0,100.38,RED
160-41807664,2025-06-04T10:00:00+03:00,851753105260,GEN,TWN,TPE,4712443483,0,91.16,1,0.0351,16.71,16.6,5136.0,0.5,GREEN
160-13212726,2025-05-17T06:00:00+03:00,851760684499,GEN,CHN,PVG,2651487053,0,108.29,1,0.0812,46.58,23.4,7538.0,102.59,RED
176-49245642,2025-06-17T16:00:00+03:00,300436268818,COL,IND,BOM,1873708341,1,41.61,1,0.0572,-40.29,36.7,8233.0,101.49,RED
176-80425243,2025-09-27T15:00:00+03:00,851768722249,VAL,CHN,PVG,2131629932,1,12.44,1,0.0817,4.79,33.9,9987.0,95.9,RED
020-20383093,2025-05-26T15:00:00+03:00,300437003632,CRT,IND,BOM,2192441821,0,31.21,1,0.0474,64.64,49.4,1951.0,1.67,GREEN
176-18990406,2025-11-28T06:00:00+03:00,851780938021,GEN,CHN,PVG,2864093209,0,19.98,1,0.0674,-9.89,14.9,6129.0,90.21,RED
020-63314046,2025-06-05T20:00:00+03:00,300488129206,CRT,IND,BOM,2874117572,0,3.01,1,0.0111,-29.77,25.4,6152.0,26.19,RED
160-26025708,2025-09-09T19:00:00+03:00,040614461288,PER,NLD,AMS,1033143360,0,66.57,1,0.0356,-12.13,29.3,6680.0,21.94,RED
176-40280551,2025-04-19T01:00:00+03:00,851758259460,VAL,TWN,TPE,4439243086,0,57.97,1,0.0187,67.16,28.0,6519.0,1.64,GREEN
020-34859719,2025-11-27T22:00:00+03:00,300455729498,CRT,IND,BOM,4094502128,1,159.09,1,0.0338,-44.34,46.9,6185.0,29.56,YELLOW
065-82686056,2025-04-15T11:00:00+03:00,300435519742,CRT,DEU,FRA,4369041492,0,71.01,1,0.0037,-16.55,30.4,5862.0,26.97,RED
176-15055196,2025-11-05T21:00:00+03:00,851777222987,VAL,CHN,PVG,4661124146,0,152.58,0,0.0147,-0.55,28.5,3354.0,51.95,RED
